fixed metal distribution -- based on Asplund, Grevesse, Sauval, and Scott (2009) solar abundances
    form     version        X           Z          logRs    logR_min    logR_max       logTs    logT_min    logT_max
       1          38    0.700000    0.020000          37   -8.000000    1.000000         138    3.750000    8.700000

   logT                       logR = logRho - 3*logT + 18
          -8.000  -7.750  -7.500  -7.250  -7.000  -6.750  -6.500  -6.250  -6.000  -5.750  -5.500  -5.250  -5.000  -4.750  -4.500  -4.250  -4.000  -3.750  -3.500  -3.250  -3.000  -2.750  -2.500  -2.250  -2.000  -1.750  -1.500  -1.250  -1.000  -0.750  -0.500  -0.250   0.000   0.250   0.500   0.750   1.000

   4.100  -0.474  -0.470  -0.466  -0.463  -0.459  -0.453  -0.441  -0.421  -0.389  -0.341  -0.273  -0.181  -0.065   0.078   0.245   0.435   0.642   0.863   1.091   1.320   1.545   1.757   1.953   2.129   2.283   2.414   2.526   2.619   2.700   2.770   2.833   2.893   2.952   3.009   3.068   3.129   3.192
   4.125  -0.470  -0.465  -0.459  -0.455  -0.449  -0.442  -0.429  -0.410  -0.379  -0.334  -0.270  -0.184  -0.074   0.062   0.222   0.405   0.607   0.825   1.053   1.288   1.522   1.750   1.967   2.167   2.347   2.503   2.638   2.751   2.848   2.931   3.003   3.070   3.131   3.191   3.250   3.310   3.371
   4.150  -0.468  -0.462  -0.456  -0.449  -0.442  -0.433  -0.419  -0.399  -0.370  -0.326  -0.266  -0.184  -0.080   0.050   0.202   0.377   0.572   0.785   1.010   1.245   1.485   1.723   1.956   2.175   2.378   2.558   2.718   2.854   2.970   3.068   3.152   3.227   3.294   3.358   3.419   3.480   3.541
   4.175  -0.469  -0.462  -0.454  -0.446  -0.438  -0.427  -0.412  -0.391  -0.361  -0.319  -0.260  -0.182  -0.082   0.041   0.187   0.356   0.544   0.751   0.972   1.205   1.445   1.689   1.930   2.163   2.384   2.586   2.769   2.928   3.065   3.181   3.280   3.365   3.441   3.510   3.575   3.640   3.703
   4.200  -0.470  -0.462  -0.454  -0.445  -0.435  -0.423  -0.407  -0.385  -0.355  -0.312  -0.255  -0.179  -0.083   0.036   0.176   0.339   0.521   0.722   0.939   1.168   1.406   1.651   1.897   2.139   2.374   2.595   2.798   2.979   3.138   3.273   3.389   3.488   3.574   3.651   3.722   3.791   3.856
   4.225  -0.471  -0.464  -0.455  -0.446  -0.435  -0.422  -0.405  -0.383  -0.352  -0.310  -0.253  -0.179  -0.085   0.030   0.166   0.325   0.503   0.700   0.912   1.139   1.375   1.618   1.865   2.113   2.356   2.590   2.811   3.012   3.193   3.348   3.481   3.596   3.694   3.781   3.860   3.935   4.006
   4.250  -0.471  -0.464  -0.456  -0.447  -0.436  -0.422  -0.404  -0.381  -0.350  -0.308  -0.252  -0.180  -0.088   0.025   0.158   0.313   0.488   0.682   0.893   1.116   1.350   1.591   1.838   2.087   2.335   2.579   2.813   3.032   3.232   3.407   3.559   3.690   3.803   3.902   3.990   4.073   4.149
   4.275  -0.469  -0.463  -0.455  -0.446  -0.434  -0.420  -0.402  -0.380  -0.349  -0.307  -0.252  -0.181  -0.091   0.019   0.150   0.304   0.477   0.670   0.880   1.103   1.336   1.576   1.821   2.071   2.321   2.570   2.813   3.045   3.260   3.452   3.623   3.771   3.901   4.013   4.113   4.204   4.286
   4.300  -0.464  -0.459  -0.451  -0.443  -0.431  -0.418  -0.400  -0.377  -0.346  -0.306  -0.252  -0.182  -0.094   0.014   0.143   0.295   0.468   0.662   0.872   1.095   1.328   1.568   1.813   2.062   2.313   2.565   2.813   3.054   3.282   3.489   3.677   3.843   3.989   4.116   4.228   4.328   4.417
   4.325  -0.457  -0.452  -0.445  -0.437  -0.426  -0.412  -0.395  -0.372  -0.343  -0.304  -0.252  -0.184  -0.099   0.007   0.135   0.286   0.459   0.653   0.864   1.089   1.324   1.565   1.812   2.062   2.315   2.569   2.820   3.067   3.304   3.524   3.726   3.907   4.069   4.211   4.335   4.445   4.540
   4.350  -0.448  -0.444  -0.438  -0.429  -0.418  -0.405  -0.387  -0.365  -0.336  -0.298  -0.249  -0.184  -0.101   0.003   0.129   0.280   0.453   0.648   0.861   1.087   1.324   1.568   1.818   2.070   2.324   2.579   2.833   3.084   3.327   3.557   3.772   3.967   4.143   4.298   4.435   4.554   4.655
   4.375  -0.439  -0.435  -0.429  -0.420  -0.409  -0.394  -0.376  -0.353  -0.324  -0.287  -0.238  -0.176  -0.096   0.006   0.130   0.281   0.454   0.650   0.864   1.092   1.331   1.577   1.829   2.083   2.340   2.597   2.854   3.108   3.356   3.594   3.818   4.025   4.212   4.380   4.527   4.655   4.764
   4.400  -0.431  -0.426  -0.419  -0.411  -0.399  -0.383  -0.363  -0.339  -0.309  -0.271  -0.223  -0.162  -0.084   0.015   0.138   0.287   0.460   0.656   0.871   1.101   1.341   1.590   1.845   2.101   2.360   2.620   2.879   3.137   3.389   3.633   3.865   4.080   4.278   4.455   4.613   4.749   4.865
   4.425  -0.423  -0.419  -0.412  -0.402  -0.390  -0.373  -0.352  -0.325  -0.292  -0.252  -0.203  -0.142  -0.064   0.033   0.153   0.299   0.470   0.665   0.880   1.111   1.353   1.604   1.861   2.121   2.383   2.647   2.909   3.170   3.427   3.676   3.915   4.137   4.342   4.527   4.693   4.837   4.960
   4.450  -0.417  -0.413  -0.405  -0.396  -0.382  -0.364  -0.341  -0.312  -0.275  -0.232  -0.180  -0.117  -0.039   0.058   0.175   0.319   0.487   0.681   0.895   1.126   1.370   1.623   1.882   2.145   2.410   2.677   2.943   3.207   3.468   3.721   3.965   4.192   4.403   4.595   4.768   4.919   5.049
   4.475  -0.414  -0.408  -0.400  -0.390  -0.377  -0.358  -0.333  -0.301  -0.262  -0.214  -0.157  -0.089  -0.007   0.090   0.208   0.351   0.517   0.708   0.920   1.151   1.395   1.648   1.909   2.173   2.440   2.710   2.979   3.247   3.510   3.768   4.015   4.247   4.463   4.661   4.838   4.994   5.129
   4.500  -0.411  -0.405  -0.396  -0.386  -0.372  -0.354  -0.328  -0.294  -0.251  -0.199  -0.136  -0.062   0.025   0.127   0.247   0.390   0.555   0.744   0.954   1.183   1.426   1.679   1.939   2.204   2.473   2.744   3.015   3.286   3.553   3.814   4.064   4.300   4.520   4.721   4.902   5.063   5.202
   4.525  -0.410  -0.403  -0.394  -0.384  -0.370  -0.352  -0.326  -0.291  -0.246  -0.190  -0.121  -0.041   0.053   0.162   0.288   0.434   0.600   0.788   0.995   1.221   1.462   1.713   1.972   2.237   2.507   2.779   3.051   3.324   3.594   3.857   4.110   4.349   4.572   4.776   4.960   5.121   5.262
